"_col0","title","type","address","city","state","postalcode","country","region","latitude","longitude","isopening","rundate"
"dc944365355","Sierra Blue Suites Hotel and Resort","destination charger","563 Lynn Rd.  Big Bear Lake, CA 92315","Big Bear Lake","CA","92315","United States","north_america","34.24238614","-116.9147517","false","2022-09-05 12:05:22 PDT"
"cnsc8171","Xinyang Wanjiahui Supercharging Station (New National Standard)","supercharger","Red Star Macalline, Home Furnishing Town at the northwest corner of Weinan 3rd Road and Jingnan 4th Road, Yangshan New District, Xinyang City, Henan Province","Xinyang","Henan","","China Mainland","asia_pacific","32.19183672","114.1338454","false","2022-09-05 12:05:22 PDT"
"rollingprairieinwilburshawtravelplaza","Rolling Prairie, IN - Wilbur Shaw Travel Plaza Supercharger","supercharger","7 North Wilbur Shaw Plaza Rolling Prairie, Indiana 46371","Rolling Prairie","IN","46371","United States","north_america","41.70766417","-86.6231211","false","2022-09-05 12:05:22 PDT"
"haifailsupercharger","Haifa Supercharger","supercharger","4 Fileman St Haifa, Israel 35084","St Haifa","","35084","Israel","middle_east","32.789368","34.964619","false","2022-09-05 12:05:22 PDT"
"cnsc8173","Supercharging Station of Dijing International Hotel, Xiapu County, Ningde City (New National Standard)","supercharger","No. 365, Taikang Road, Xiapu County, Ningde City, Fujian Province","Ningde","Fujian","","China Mainland","asia_pacific","26.88497077","120.0224949","false","2022-09-05 12:05:22 PDT"
"leicesteruksupercharger","Leicester Supercharger","supercharger","Leicester, United Kingdom LE19 1HY","Leicester","","LE19 1HY","United Kingdom","europe","52.594675","-1.180623","false","2022-09-05 12:05:22 PDT"
"tourssudsuperchargerq122","Tours Sud","supercharger","","Tours","","","France","europe","47.3310567","0.683381183","true","2022-09-05 12:05:22 PDT"
"cnsc8166","Guangzhou Jockey Club Home Furnishing Supercharging Station (New National Standard)","supercharger","Guangzhou Jockey Club Home Furnishing, No. 668 Huangpu Avenue West, Tianhe District, Guangzhou City, Guangdong Province","Guangzhou","Guangdong","","China Mainland","asia_pacific","23.11804943","113.3460009","false","2022-09-05 12:05:22 PDT"
"panyushiqiaostore","Guangzhou Panyu City Bridge Tesla Center","store","Building A, No. 1557, North Panyu Avenue, South Street, Panyu District, Guangzhou City, Guangdong Province","Guangzhou","Guangdong","","China Mainland","asia_pacific","22.9181553","113.396486","false","2022-09-05 12:05:22 PDT"
"virginiabeachvasupercharger","Virginia Beach, VA Supercharger","supercharger","2501 Virginia Beach Boulevard Virginia Beach, Virginia 23452","Virginia Beach","VA","23452","United States","north_america","36.84068","-76.05528","false","2022-09-05 12:05:22 PDT"
"readingpasupercharger","Reading, PA Supercharger","supercharger","5060  Perkiomen Avenue   Reading, Pennsylvania  United States 19606","Reading","PA","19606","United States","north_america","40.3017487","-75.85382832","false","2022-09-05 12:05:22 PDT"
"cnsc8183","Xuzhou Huaihai Global Port Supercharging Station (New National Standard)","supercharger","Parking lot on the basement level of Huaihai Global Harbor, No. 8 Xuhai Road, Economic Development Zone, Xuzhou City, Jiangsu Province","Xuzhou","Jiangsu","","China Mainland","asia_pacific","34.268814","117.273735","false","2022-09-05 12:05:22 PDT"
"cnsc8185","Crowne Plaza Nanchang Poly Hotel Supercharging Station (New National Standard)","supercharger","Crowne Plaza Poly Hotel, 66 Hongwan Avenue, Wanli District, Nanchang City, Jiangxi Province","Nanchang","Jiangxi","","China Mainland","asia_pacific","28.70560753","115.7560697","false","2022-09-05 12:05:22 PDT"
"cnsc8187","Supercharging Station of Shanghai Pearl River Creative Center (New National Standard)","supercharger","Pearl River Creative Center, No. 695 Lingshi Road, Zhabei District, Shanghai","Shanghai","Shanghai","","China Mainland","asia_pacific","31.2843843","121.450308","false","2022-09-05 12:05:22 PDT"
"hoteltangermed","Hotel Tanger Med","standard charger","Melloussa 1, Ghedir Eddefla, 90000, Morocco","Melloussa","","90000","Morocco","europe","35.682847","-5.690923","false","2022-09-05 12:05:22 PDT"
"dc25796","Amity Court Motel","destination charger","35 Broadway Stratford 4332","Stratford","","4332","New Zealand","asia_pacific","-39.328275","174.279657","false","2022-09-05 12:05:22 PDT"
"baoding","Baoding Tesla Center","store","No. 1485, Changcheng Road, Lianchi District, Baoding City, Hebei Province","Baoding","Hebei","","China Mainland","asia_pacific","38.836664","115.513648","false","2022-09-05 12:05:22 PDT"
"kyletxsupercharger","Kyle, TX Supercharger","supercharger","151 Evans Drive Kyle, Texas 78640","Kyle","TX","78640","United States","north_america","30.01296","-97.86266","false","2022-09-05 12:05:22 PDT"
"saskatoon703","Saskatoon-703 Melville St","store","703 Melville St Saskatoon, SK S7T 0C9","Saskatoon","SK","S7T 0C9","Canada","north_america","52.0855191","-106.653751","false","2022-09-05 12:05:22 PDT"
"mexicocitysouth2358","Mexico City South","store","2358 Av. Insurgentes Sur Ciudad de México, CDMX 01000","Ciudad de México","Ciudad de México","1000","Mexico","north_america","19.3430687","-99.1886073","false","2022-09-05 12:05:22 PDT"
"sandcitycasupercharger","Sand City, CA Supercharger","supercharger","2040 California Avenue Sand City, California 93955","Sand City","CA","93955","United States","north_america","36.621965","-121.844121","false","2022-09-05 12:05:22 PDT"
"bealetonvasupercharger","Bealeton, VA Supercharger","supercharger","10101 James Madison Highway  Bealeton, Virginia  United States 22712","Bealeton","VA","22712","United States","north_america","38.61989","-77.80024","false","2022-09-05 12:05:22 PDT"
"dc993611","Whanganui I-Site","destination charger","27 Moutoa Quay Whanganui Manawatu-Wanganui 4500","Whanganui","Manawatu-Wanganui","4500","New Zealand","asia_pacific","-39.93424782","175.056641","false","2022-09-05 12:05:22 PDT"
"brisbanesupercharger","Brisbane West","supercharger","","Brisbane","","","Australia","asia_pacific","-27.4971","152.9752","true","2022-09-05 12:05:22 PDT"
"toftaholmsupercharger","Toftaholm Supercharger","supercharger","Toftaholm Herrgård Toftaholm Lagan, SE 30414","Lagan","","30414","Sweden","europe","57.028956","14.014744","false","2022-09-05 12:05:22 PDT"
"sushienoodlestuscolana","Sushi e Noodles Tuscolana","standard charger","840 Via tuscolana Roma, Italy 00174","Rome","CA","174","Italy","europe","41.8633398","12.549236","false","2022-09-05 12:05:22 PDT"
"cnsc8238","Zhangzhou Xiangjiang Platinum Palace Supercharging Station (New National Standard)","supercharger","Xiangjiang Platinum Palace, 101 Shengli West Road, Xiangcheng District, Zhangzhou City, Fujian Province","Zhangzhou","Fujian","","China Mainland","asia_pacific","24.51634548","117.6360711","false","2022-09-05 12:05:22 PDT"
"dresdende","Dresden","store","Am Wüsteberg 1, 01723 Kesseldorf, Germany","Dresden","","1723","Germany","europe","51.03671","13.59832","false","2022-09-05 12:05:22 PDT"
"collinsvilleilsupercharger","Collinsville, IL Supercharger","supercharger","217 N Bluff Road Collinsville, Illinois 62234","Collinsville","IL","62234","United States","north_america","38.67336477","-90.01353573","false","2022-09-05 12:05:22 PDT"
"dc1092147","Narrows Escape Rainforest Retreat","destination charger","78 Narrows Road North Maleny  QLD 4552","North Maleny ","QLD","4552","Australia","asia_pacific","-26.68829","152.86538","false","2022-09-05 12:05:22 PDT"
"avestasupercharger","Avesta","supercharger","","Avesta","","","Sweden","europe","60.14508736","16.17324542","true","2022-09-05 12:05:22 PDT"
"beltsvillemdsupercharger","Beltsville, MD Supercharger","supercharger","10515 Baltimore Avenue  Beltsville, Maryland  United States 20705","Beltsville","MD","20705","United States","north_america","39.026761","-76.917178","false","2022-09-05 12:05:22 PDT"
"virserumsvandrarhem","Virserums Vandrarhem","standard charger","9 Södra Järnvägsgatan Virserum Sweden 57771","Virserum","","57771","Sweden","europe","57.31986696","15.57941852","false","2022-09-05 12:05:22 PDT"
"newpaltznysupercharger","New Paltz, NY Supercharger","supercharger","271 Main Street Plaza Diner New Paltz, New York 12561","New Paltz","NY","12561","United States","north_america","41.743818","-74.070079","false","2022-09-05 12:05:22 PDT"
"maltanysupercharger","Malta, NY Supercharger","supercharger","2951  U.S. 9  Ballston Spa, New York  United States 12020","Malta","NY","12020","United States","north_america","43.026183","-73.791391","false","2022-09-05 12:05:22 PDT"
"hinkenghksupercharger","Hin Keng Supercharger 顯徑超級充電站","supercharger","B/F, 69 Che Kung Miu Road, Tai Wai, New Territories 新界 大圍 車公廟道69號地庫","Hong Kong","","","Hong Kong","asia_pacific","22.36392","114.17203","false","2022-09-05 12:05:22 PDT"
"douglasvillegasupercharger","Douglasville, GA Supercharger","supercharger","2950 Chapel Hill Road Douglasville, Georgia 30135","Douglasville","GA","30135","United States","north_america","33.726886","-84.73577","false","2022-09-05 12:05:22 PDT"
"cnsc8110","Supercharging Station of DoubleTree by Hilton Hotel Heyuan (New National Standard)","supercharger","123 Yuewang Avenue, Yuancheng District, Heyuan City, Guangdong Province","Heyuan","Guangdong","","China Mainland","asia_pacific","23.767788","114.719269","false","2022-09-05 12:05:22 PDT"
"glendale9245","Glendale AZ-9245 W Glendale Ave","store","9245 W Glendale Ave Glendale, AZ 85305-2408","Glendale","AZ","85305-2408","United States","north_america","33.537005","-112.2607206","false","2022-09-05 12:05:22 PDT"
"eurekaboradwayremotedrive","Eureka-4260 Broadway St Remote Demonstration Drive","store","4260 Broadway St, Eureka, CA 95503","Eureka","CA","95503","United States","north_america","40.76811166","-124.1922121","false","2022-09-05 12:05:22 PDT"
"dc786747","Ayers Rock Resort","destination charger","193 Yulara Drive Yulara NT 872","Yulara","NT","NT 872","Australia","asia_pacific","-25.23818","130.98448","false","2022-09-05 12:05:22 PDT"
"cnsc8121","Shijiazhuang Haiyuetiandi Supercharging Station (New National Standard)","supercharger","66 Yuhua West Road, Qiaoxi District, Shijiazhuang City, Hebei Province","Shijiazhuang","Hebei","","China Mainland","asia_pacific","38.034492","114.471977","false","2022-09-05 12:05:22 PDT"
"cnsc8999","Chengdu Oriental Hope Tianxiang Plaza Supercharging Station (New National Standard)","supercharger","150 meters north of the intersection of Shenghua Road and Tianfu 2nd Street, Wuhou District, Chengdu","Chengdu","Sichuan","","China Mainland","asia_pacific","30.55898","104.074369","false","2022-09-05 12:05:22 PDT"
"cnsc8996","Shanghai Anadi Hotel Supercharging Station (New National Standard)","supercharger","Area B, Basement B2, Shanghai Anandi Hotel, No. 7 Linhong Road, Changning District, Shanghai","Shanghai","Shanghai","","China Mainland","asia_pacific","31.22972739","121.3576592","false","2022-09-05 12:05:22 PDT"
"cnsc8998","Guangzhou Nansha Jinzhou Xintiandi Supercharging Station (New National Standard)","supercharger","Intersection of Jingang Avenue and Jinsha Road, Nansha District, Guangzhou City, Guangdong Province","Guangzhou","Guangdong","","China Mainland","asia_pacific","22.80092818","113.545138","false","2022-09-05 12:05:22 PDT"
"vegrevilleabsupercharger","Vegreville, AB Supercharger","supercharger","6623  Hwy 16a W  Vegreville, Alberta  Canada T9C 0A3","Vegreville","AB","T9C 0A3","Canada","north_america","53.502052","-112.080085","false","2022-09-05 12:05:22 PDT"
"dc1009180","사니다카페","destination charger","강원도 주산리 992-12","강원도","","","South Korea","asia_pacific","37.4067889","127.914365","false","2022-09-05 12:05:22 PDT"
"lexingtonmasupercharger","Lexington, MA (NB) Supercharger","supercharger","690 Marrett Road Lexington, Massachusetts 02421","Lexington","MA","2421","United States","north_america","42.439688","-71.257964","false","2022-09-05 12:05:22 PDT"
"dc744960","枋客文旅","standard charger","940 屏東縣枋寮鄉中興路22-19號","枋寮鄉","","","Taiwan","asia_pacific","22.367667","120.593177","false","2022-09-05 12:05:22 PDT"
"duperochester1stremotedrive","DUPE - Rochester-500 1st Ave SW Remote Demonstration Drive","","500 1st Ave SW Rochester, MN 55902","Rochester","MN","55902","United States","north_america","44.01774301","-92.46412098","false","2022-09-05 12:05:22 PDT"
"dc832903308","Gingerbread Manor B&B / Manoir aux Pains d'Epices","destination charger","3445 Avenue Laval   Montreal, QC H2X3C7","Montreal","QC","H2X3C7","Canada","north_america","45.53070068","-73.5547","false","2022-09-05 12:05:22 PDT"
"portageingeorgeadetravelplazasupercharger","Portage, IN - George Ade Travel Plaza Supercharger","supercharger","Indiana Toll Road  Portage, Indiana  United States 46368","Portage","IN","46368","United States","north_america","41.58745","-87.21759","false","2022-09-05 12:05:22 PDT"
"dc810328","Two Harbour Square 二號海港廣場","standard charger","180 Wai Yip Street, Kwun Tong, Kowloon 九龍 觀塘 偉業街180號","Hong Kong","","","Hong Kong","asia_pacific","22.30969","114.22124","false","2022-09-05 12:05:22 PDT"
"cnsc8958","Beijing Shunyi Luohong Photographic Art Museum Supercharging Station (New National Standard)","supercharger","Luohong Photography Art Gallery, Exit of Yanglin Toll Station, Tianzhulin Road, Shunyi District, Beijing","Beijing","Beijing","","China Mainland","asia_pacific","40.04326761","116.5745673","false","2022-09-05 12:05:22 PDT"
"cnsc8953","Beijing Euro Plaza Supercharging Station (new national standard)","supercharger","Overground parking space at Euro Plaza, No. 99 Yuxiang Road, Tianzhu Town, Shunyi District, Beijing","Beijing","Beijing","","China Mainland","asia_pacific","40.06687949","116.5473488","false","2022-09-05 12:05:22 PDT"
"kingslynngbsupercharger","King's Lynn Supercharger","supercharger","Beveridge Way, PE30 4NB King's Lynn, UK","King's Lynn","","PE30 4NB","United Kingdom","europe","52.73526","0.41388","false","2022-09-05 12:05:22 PDT"
"dc1081341","Lai Sun Commercial Centre 麗新商業中心","standard charger","680 Cheung Sha Wan Road, Lai Chi Kok, Kowloon 九龍 荔枝角 長沙灣道680號","Hong Kong","","","Hong Kong","asia_pacific","22.339213","114.152274","false","2022-09-05 12:05:22 PDT"
"portsmouthvasupercharger","Portsmouth, VA","supercharger","","Portsmouth","VA","","United States","north_america","36.83539326","-76.29790807","true","2022-09-05 12:05:22 PDT"
"cnsc8963","Foshan Bailida Plaza Supercharging Station (new national standard)","supercharger","No. 3, Nanfeng Avenue, Southwest Street, Sanshui District, Foshan City, Guangdong Province","Foshan","Guangdong","","China Mainland","asia_pacific","23.17583464","112.9020015","false","2022-09-05 12:05:22 PDT"
"cnsc8964","Baise Andaman International Hotel Supercharging Station (New National Standard)","supercharger","Underground parking lot of Andaman International Hotel, Youjiang District, Baise City, Guangxi Province","Baise","Guangxi","","China Mainland","asia_pacific","23.88770076","106.6296342","false","2022-09-05 12:05:22 PDT"
"cnsc8977","Shenzhen Vanke Binhai Cloud Center Supercharging Station (new national standard)","supercharger","No. 1, Tairan 8th Road, Futian District, Shenzhen, Guangdong Province","Shenzhen","Guangdong","","China Mainland","asia_pacific","22.53028999","114.025663","false","2022-09-05 12:05:22 PDT"
"badoeynhausensuperchargerq122","Bad Oeynhausen Supercharger","supercharger","22 Mindener Straße Bad Oeynhausen,32547, Germany","Bad Oeynhausen","","32547","Germany","europe","52.213321","8.814317","false","2022-09-05 12:05:22 PDT"
"cnsc8972","Shanghai Tangzhen Sunshine City Supercharging Station (New National Standard)","supercharger","North District, B, 2nd Floor, Yangguang Tiandi, Tangzhen, No. 1, Lane 777, East Gaoke Road, Pudong New Area, Shanghai","Shanghai","Shanghai","","China Mainland","asia_pacific","31.220613","121.662392","false","2022-09-05 12:05:22 PDT"
"sentrumphus","Sentrum P-hus","standard charger","1 C. J. Hambros plass  Oslo, Norway 0164","Oslo","","164","Norway","europe","59.916086","10.741311","false","2022-09-05 12:05:22 PDT"
"cnsc8973","Beijing Red Star Macalline Supercharging Station (New National Standard)","supercharger","No. 59, Laiguangying West Road, Chaoyang District, Beijing (Intersection of Beiyuan East Road and Beiyuan South Street)","Beijing","Beijing","","China Mainland","asia_pacific","40.02544218","116.4408918","false","2022-09-05 12:05:22 PDT"
"cnsc8976","Enshi Aoshan Century City Supercharging Station (New National Standard)","supercharger","Area B, 1st Floor, Enshi Folk Street Parking Lot, Building 3, Aoshan Century City, Shizhou Avenue, Enshi City, Hubei Province","Enshi","Hubei","","China Mainland","asia_pacific","30.350707","109.495052","false","2022-09-05 12:05:22 PDT"
"dc996791","長濱跑者之家民宿","destination charger","962 台東縣長濱鄉竹湖村47號","長濱鄉","","","Taiwan","asia_pacific","23.28254956","121.4276541","false","2022-09-05 12:05:22 PDT"
"montpellierettorebugatti","Montpellier-Ettore Bugatti","store","431 Rue Ettore Bugatti Montpellier, Occitanie  34070 France","Montpellier","","34070","France","europe","43.5790522","3.8671216","false","2022-09-05 12:05:22 PDT"
"tokyodaikanyamasupercharger","東京 - 代官山","supercharger","東京都渋谷区猿楽町16-15","代官山","東京都","150-0033","Japan","asia_pacific","35.64908568","139.699613","false","2022-09-05 12:05:22 PDT"
"dc1093299","山灣水月特色民宿","destination charger","981  花蓮縣玉里鎮樂合里溫泉41-8號","玉里鎮","","","Taiwan","asia_pacific","23.2834642","121.3435257","false","2022-09-05 12:05:22 PDT"
"dc867355258","Terra Nova National Park Visitor Centre","destination charger","Terra Nova National Park Trans-Canada Hwy Glovertown,  NL A0G 4K0","Glovertown","NL","A0G 4K0","Canada","north_america","48.57925","-53.94814","false","2022-09-05 12:05:22 PDT"
"hope830bcsupercharger","Hope, BC Supercharger","supercharger","Hope Hotel Lot 830-840 Fraser Ave Hope, BC V0X 1L0","Hope","","V0X 1L0","Canada","north_america","49.378355","-121.442633","false","2022-09-05 12:05:22 PDT"
"cnsc8925","Hefei Binhu Yintai City Supercharging Station (New National Standard)","supercharger","Area F, 3rd Floor, Yintai City, Binhu, Yungu Road, Baohe District, Hefei, Anhui Province","Hefei","Anhui","","China Mainland","asia_pacific","31.71466177","117.3009532","false","2022-09-05 12:05:22 PDT"
"cnsc8927","Wuhan Yintai Creative City Supercharging Station (New National Standard)","supercharger","Area E, 3rd Floor, Yintai Creative City, No. 35, Luoyu Road, Hongshan District, Wuhan City, Hubei Province","Wuhan","Hubei","","China Mainland","asia_pacific","30.52642132","114.3565769","false","2022-09-05 12:05:22 PDT"
"hauppaugenysupercharger","Hauppauge, NY - Motor Parkway Supercharger","supercharger","694 Motor Parkway Hauppauge, New York 11788","Hauppauge","NY","11788","United States","north_america","40.806913","-73.238541","false","2022-09-05 12:05:22 PDT"
"kinfatlanesupercharger","Kin Fat Lane Supercharger 建發里超級充電站","supercharger","4 Kin Fat Lane Tuen Mun,New Territories 新界 屯門 建發里4號","Hong Kong","","","Hong Kong","asia_pacific","22.396887","113.968827","false","2022-09-05 12:05:22 PDT"
"cnsc8936","Chengdu Dekun Xintiandi Supercharging Station (New National Standard)","supercharger","Floor B2, Dekun Xintiandi Underground Parking Lot, No. 1856, Section 3, Guanghua Avenue, Wenjiang District, Chengdu City, Sichuan Province","Chengdu","Sichuan","","China Mainland","asia_pacific","30.68947239","103.8564156","false","2022-09-05 12:05:22 PDT"
"cnsc8931","Nanjing Golden Eagle World Supercharging Station (New National Standard)","supercharger","Area E, B3 Floor, No. 888 Yingtian Street, Jianye District, Nanjing City, Jiangsu Province","Nanjing","Jiangsu","","China Mainland","asia_pacific","32.02384993","118.7407909","false","2022-09-05 12:05:22 PDT"
"busanmyeongjisupercharger","Busan-Myeongji","supercharger","","Busan","","","South Korea","asia_pacific","35.09832","128.9176","true","2022-09-05 12:05:22 PDT"
"madisonwisupercharger2","Madison, WI - South Livingston Supercharger","supercharger","755 E. Washington Ave  Madison, Wisconsin  United States 53703","Madison","WI","53703","United States","north_america","43.080519","-89.375135","false","2022-09-05 12:05:22 PDT"
"florencescsupercharger22","Florence, SC - North Williston Road Supercharger","supercharger","3390 North Williston Road  Florence , South Carolina  United States 29506","Florence","SC","29506","United States","north_america","34.27201556","-79.70397651","false","2022-09-05 12:05:22 PDT"
"cnsc8024","Changsha Haobska Hotel Supercharging Station (New National Standard)","supercharger","Haobska Hotel, No.198 Xiangfu Road, Tianxin District, Changsha City, Hunan Province","Changsha","Hunan","","China Mainland","asia_pacific","28.118471","113.002371","false","2022-09-05 12:05:22 PDT"
"cnsc8029","Fengsheng Shanghui Supercharging Station (New National Standard)","supercharger","Fengsheng Shanghui, No.119 Software Avenue, Yuhuatai District, Nanjing City, Jiangsu Province","Nanjing","Jiangsu","","China Mainland","asia_pacific","31.981574","118.767322","false","2022-09-05 12:05:22 PDT"
"dc1169335","Island Resort","standard charger","UG/F, Olympian City One, 11 Hoi Fai Road, Tai Kok Tsui, Kowloon 九龍 大角咀 海輝道11 號 奧海城第一期UG/F","Hong Kong","","","Hong Kong","asia_pacific","22.266088","114.251785","false","2022-09-05 12:05:22 PDT"
"cnsc8041","Shanghai Hopson Xintiandi Supercharging Station (New National Standard)","supercharger","Mige Tiandi, 5999 Jiasong Middle Road, Qingpu District, Shanghai","Shanghai","Shanghai","","China Mainland","asia_pacific","31.156717","121.236863","false","2022-09-05 12:05:22 PDT"
"apleichauservice","Ap Lei Chau Service Centre 鴨脷洲服務中心","service","2/F, 111 Lee Nam Road, Ap Lei Chau, Southern District 南區 鴨脷洲 利南道111號2樓","Hong Kong","","","Hong Kong","asia_pacific","22.2384872","114.152962","false","2022-09-05 12:05:22 PDT"
"golfedesainttropezsuperchargerq122","Golfe de Saint-Tropez","supercharger","","Golfe de Saint-Tropez","","","France","europe","43.262481","6.575544","true","2022-09-05 12:05:22 PDT"
"cnsc8037","Jinmao Bay Supercharging Station (New National Standard)","supercharger","Jinmao Bay, 25 Sichuan Road, Shinan District, Qingdao City, Shandong Province","Qingdao","Shandong","","China Mainland","asia_pacific","36.070448","120.307284","false","2022-09-05 12:05:22 PDT"
"cnsc8038","Xi'an Taihua Jinmao International Supercharging Station (New National Standard)","supercharger","Taihua Jinmao International, the southwest corner of the intersection of Fenghui South Road and Keji 2nd Road, Yanta District, Xi'an City, Shaanxi Province","Xi'an","Shaanxi","","China Mainland","asia_pacific","34.230591","108.894146","false","2022-09-05 12:05:22 PDT"
"bucharestsales","Bucharest","store","Splaiul Unirii nr. 355 - 369, Sector 3, București 030139, Romania","Bucharest","","30139","Romania","europe","44.403449","26.144813","false","2022-09-05 12:05:22 PDT"
"cnsc8055","Zhoushan Haizhongzhou International Hotel Supercharging Station (New National Standard)","supercharger","Haizhongzhou International Hotel, No.338 Donggang Xingpu Avenue, Putuo District, Zhoushan City, Zhejiang Province","Zhoushan","Zhejiang","","China Mainland","asia_pacific","29.972572","122.32252","false","2022-09-05 12:05:22 PDT"
"euiwangsupercharger","의왕 수퍼차저","supercharger","경기도 의왕시 학의동 1039","의왕시","","","South Korea","asia_pacific","37.375635","127.00947","false","2022-09-05 12:05:22 PDT"
"dc915335","妮娜巧克力夢想城堡","standard charger","545 南投縣埔里鎮桃米路32號","埔里鎮","","","Taiwan","asia_pacific","23.943322","120.929566","false","2022-09-05 12:05:22 PDT"
"cnsc8058","Changchun Jiatai Dijingcheng Supercharging Station (New National Standard)","supercharger","Intersection of Jilin Road and Yangpu Street, Economic Development Zone, Changchun City, Jilin Province","Changchun","Jilin","","China Mainland","asia_pacific","43.880538","125.421998","false","2022-09-05 12:05:22 PDT"
"allentownpasupercharger","Allentown, PA - Schantz Road Supercharger","supercharger","7572  Schantz Road  Allentown , Pennsylvania  United States  18106","Allentown","PA","18106","United States","north_america","40.588118","-75.560089","false","2022-09-05 12:05:22 PDT"
"allentownpasupercharger","Allentown, PA - Schantz Road Supercharger","supercharger","7572  Schantz Road  Allentown , Pennsylvania  United States  18106","Allentown","PA","18106","United States","north_america","40.57162465","-75.61673671","false","2022-09-05 12:05:22 PDT"
"saintbruno1155","Saint-Bruno-Promenades St Bruno","store","1155 Boulevard des Promenades Saint-Bruno-de-Montarville, QC J3V 6J6","Saint-Bruno-de-Montarville","QC","J3V 6J6","Canada","north_america","45.5047885","-73.3739452","false","2022-09-05 12:05:22 PDT"
"masdarcentralparksupercharger","Masdar Central Park Supercharger","supercharger","Masdar City Masdar, United Arab Emirates","Masdar","","","United Arab Emirates","middle_east","24.4305","54.617778","false","2022-09-05 12:05:22 PDT"
"teruelsuperchargerq122","Teruel","supercharger","","Teruel","","","Spain","europe","40.341","-1.109723","true","2022-09-05 12:05:22 PDT"
"williamsburgvasupercharger","Williamsburg, VA Supercharger","supercharger","842 Merrimac Trail Williamsburg, Virginia 23185","Williamsburg","VA","23185","United States","north_america","37.266316","-76.676871","false","2022-09-05 12:05:22 PDT"
"alturascasupercharger","Alturas, CA Supercharger","supercharger","1200 West 12th Street Alturas, California 96101","Alturas","CA","96101","United States","north_america","41.495392","-120.559776","false","2022-09-05 12:05:22 PDT"
"crystalriverflsupercharger","Crystal River, FL Supercharger","supercharger","505 US-19 Crystal River, Florida 34429","Crystal River","FL","34429","United States","north_america","28.899202","-82.586671","false","2022-09-05 12:05:22 PDT"
"cnsc9210","Nanning Liyuan Grand Metropark Hotel Supercharging Station (V3 | New National Standard)","supercharger","Area GF at the entrance of the underground parking lot of Liyuan Grand Metropark Hotel, No. 2 Libin Avenue, Qingxiu District, Nanning City, Guangxi Province","Nanning","Guangxi","","China Mainland","asia_pacific","22.79263722","108.3763849","false","2022-09-05 12:05:22 PDT"
"cnsc9209","Wenzhou Hengjiu Building Supercharging Station (V3 | New National Standard)","supercharger","Pavement parking lot of Tongren Hengjiu Building, No. 525 Shifu Road, Lucheng District, Wenzhou City, Zhejiang Province","Wenzhou","Zhejiang","","China Mainland","asia_pacific","27.99519375","120.701908","false","2022-09-05 12:05:22 PDT"
"hsinchuhukouserviceareasouthboundsupercharger","新竹 － 湖口服務區南向","supercharger","新竹縣湖口鄉國強街1巷8號","湖口鄉","","","Taiwan","asia_pacific","24.85706","121.008628","false","2022-09-05 12:05:22 PDT"
"montrealquebecsupercharger","Montréal, QC Supercharger","supercharger","3131 Cote Vertu Boulevard  Montréal, Quebec  Canada H4R 1Y8","Montréal","","H4R 1Y8","Canada","north_america","45.500429","-73.707966","false","2022-09-05 12:05:22 PDT"
"stavangercentralnosupercharger","Stavanger Central","supercharger","","Stavanger Central","","","Norway","europe","58.970318","5.730974","true","2022-09-05 12:05:22 PDT"
"dc1084624","Ocean PopWalk 海天晉滙","standard charger","B/F, 28 Tong Chun Street, Tseung Kwan O, New Territories 新界 將軍澳 唐俊街28號地庫","Hong Kong","","","Hong Kong","asia_pacific","22.30306","114.26104","false","2022-09-05 12:05:22 PDT"
"naplesflsupercharger","Naples, FL - Tarpon Bay Boulevard Supercharger","supercharger","2433 Tarpon Bay Boulevard Naples, Florida 34119","Naples","FL","34119","United States","north_america","26.271621","-81.73912","false","2022-09-05 12:05:22 PDT"
"cnsc9205","Fuzhou Shuoguo Times Square Supercharging Station (V3 | New National Standard)","supercharger","Next to Parking Space E023 in Area E, Basement 2 of Shuoguo Times Square, Jinchao Avenue, Linchuan District, Fuzhou City, Jiangxi Province","Fuzhou","Jiangxi","","China Mainland","asia_pacific","27.96034","116.3697","false","2022-09-05 12:05:22 PDT"
"vestbysupercharger","Vestby Supercharger","supercharger","8 Senterveien Vestby, Norway  1540","Vestby","","1540","Norway","europe","59.602856","10.741187","false","2022-09-05 12:05:22 PDT"
"beecavetxsupercharger","Bee Cave, TX Supercharger","supercharger","12770 Shops Parkway  Bee Cave, Texas  United States 78738","Bee Cave","TX","78738","United States","north_america","30.303737","-97.941771","false","2022-09-05 12:05:22 PDT"
"saint-liboireqcsupercharger","Saint-Liboire, QC Supercharger","standard charger","1144 Rang Saint-Édouard  Saint-Liboire, Quebec  Canada J0H 1R0","Saint-Liboire","QC","J0H 1R0","Canada","north_america","45.6881019","-72.80542513","false","2022-09-05 12:05:22 PDT"
"cnsc9217","Changsha Sany Cloud Valley Supercharging Station (New National Standard)","supercharger","On-ground parking lot at the entrance of Sanyi Yungu, Liangtang Road, Changsha County, Changsha City, Hunan Province","Changsha","Hunan","","China Mainland","asia_pacific","28.24678085","113.1044774","false","2022-09-05 12:05:22 PDT"
"cnsc9218","Supercharging station in Shenzhen Tus Xiexin Technology Park (V3 | New National Standard)","supercharger","Ground parking lot of Qidi Xiexin Science Park, Longcheng Street, Longgang District, Shenzhen, Guangdong Province (Entrance: Kechuang Road)","Shenzhen","Guangdong","","China Mainland","asia_pacific","22.70461437","114.2150784","false","2022-09-05 12:05:22 PDT"
